module	width	recipe	class	source_sha256	worst_arrival_ps	worst_output	area_um2
mul16_mac_fused_fast_shared_ctrl_array_brentkung_mux_classic	16	classic	control	53afb9b49f1c069e20419f404a976102f6bbb8855e0fb6a4b4053adcf91de061	6270.0	y[33]	12605.84
mul16_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_default	16	default	control	2aed5aae973a28d509291e4f80f193bdcd5243cd5752736232713da8fdea8363	8280.0	y[34]	9576.68
mul16_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_classic	16	classic	control	2aed5aae973a28d509291e4f80f193bdcd5243cd5752736232713da8fdea8363	5900.0	y[33]	13103.82
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_mux_default	16	default	control	56cf5c5e85b3565e4fa97b8a898e3784fd97685278ce3ac3212b173b042f5254	8020.0	y[50]	9382.75
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_mux_classic	16	classic	control	56cf5c5e85b3565e4fa97b8a898e3784fd97685278ce3ac3212b173b042f5254	6430.0	y[33]	12628.36
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_default	16	default	control	9eb20473de7929f0c961758ffed8128df6bdc60d8405b13d5fad5638230dcf83	8960.0	y[34]	9731.83
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_classic	16	classic	control	9eb20473de7929f0c961758ffed8128df6bdc60d8405b13d5fad5638230dcf83	6440.0	y[33]	12983.70
mul16_mac_fused_fast_shared_ctrl_array_koggestone_mux_default	16	default	control	24c1ef4147dd5f33bd77b87e7667895e0942fd14ff7978c3f96530dff845d491	8330.0	y[33]	9452.82
mul16_mac_fused_fast_shared_ctrl_array_koggestone_mux_classic	16	classic	control	24c1ef4147dd5f33bd77b87e7667895e0942fd14ff7978c3f96530dff845d491	5740.0	y[33]	12224.22
mul16_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_default	16	default	control	67f5cfd80d7076c34057b4598fdb07d33bbd8ce9696c69fd13076d0bb4deead3	9430.0	y[33]	9721.82
mul16_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_classic	16	classic	control	67f5cfd80d7076c34057b4598fdb07d33bbd8ce9696c69fd13076d0bb4deead3	5810.0	y[33]	12977.45
mul16_mac_fused_fast_shared_ctrl_array_ripple_mux_default	16	default	control	0d2481411baec22e4fd50e109930797d37c265746dcd4ed89a60c65d95b9c56e	8940.0	y[33]	9380.25
mul16_mac_fused_fast_shared_ctrl_array_ripple_mux_classic	16	classic	control	0d2481411baec22e4fd50e109930797d37c265746dcd4ed89a60c65d95b9c56e	5980.0	y[33]	12439.43
mul16_mac_fused_fast_shared_ctrl_array_ripple_xormaj_default	16	default	control	ea0fba3281847b69ab5d195e7f0fef23577bff298868ba861e026abfc5271ab8	8360.0	y[33]	9562.92
mul16_mac_fused_fast_shared_ctrl_array_ripple_xormaj_classic	16	classic	control	ea0fba3281847b69ab5d195e7f0fef23577bff298868ba861e026abfc5271ab8	6140.0	y[33]	13167.63
mul16_mac_fused_fast_shared_ctrl_array_sklansky_mux_default	16	default	control	67626ad88e7d9394b6432428e8888cfd7f17d771736d67f48e8e7dedd40d3d15	8000.0	y[50]	9326.44
mul16_mac_fused_fast_shared_ctrl_array_sklansky_mux_classic	16	classic	control	67626ad88e7d9394b6432428e8888cfd7f17d771736d67f48e8e7dedd40d3d15	6210.0	y[33]	12579.56
mul16_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_default	16	default	control	d7ebb6b7cb178c780574a4178d296f69d0d09b50fb463c898431930fdb657214	8720.0	y[34]	9480.34
mul16_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_classic	16	classic	control	d7ebb6b7cb178c780574a4178d296f69d0d09b50fb463c898431930fdb657214	5980.0	y[33]	13379.08
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_default	16	default	control	ccf8a9b005185fbeb4ae139a434b8f8733c8034ec6895436760284510a54e8f8	8710.0	y[33]	9024.91
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_classic	16	classic	control	ccf8a9b005185fbeb4ae139a434b8f8733c8034ec6895436760284510a54e8f8	4940.0	y[33]	14067.24
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_xormaj_default	16	default	control	a83cdb83aeffb91e181e0259f569b35b7b6500403cb3084c98b35d5646f8e592	12000.0	y[43]	9096.22
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_xormaj_classic	16	classic	control	a83cdb83aeffb91e181e0259f569b35b7b6500403cb3084c98b35d5646f8e592	5030.0	y[33]	15379.75
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_mux_default	16	default	control	f46cb2c49d3a988270e9e5a8d67c762f28dcf843e98c542131deb92b390b8b16	7410.0	y[34]	9270.14
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_mux_classic	16	classic	control	f46cb2c49d3a988270e9e5a8d67c762f28dcf843e98c542131deb92b390b8b16	5120.0	y[33]	14345.01
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_xormaj_default	16	default	control	ca6e814f8369a5458f9823af8ceaa8f0b3ed32e50eab7668d46dc357b6454ca1	6920.0	y[35]	9282.65
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_xormaj_classic	16	classic	control	ca6e814f8369a5458f9823af8ceaa8f0b3ed32e50eab7668d46dc357b6454ca1	5190.0	y[33]	16435.76
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_mux_default	16	default	control	5f4d5d60a762b72b34c31016079c170fcaf7ebe0c944ce1b59d01a977c8b27f0	7090.0	y[33]	9605.46
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_mux_classic	16	classic	control	5f4d5d60a762b72b34c31016079c170fcaf7ebe0c944ce1b59d01a977c8b27f0	4380.0	y[33]	15104.49
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_xormaj_default	16	default	control	bc07674f42c4dd660bfd03635e29c0576087ccfd0137b0fbdaa9dde92eb26810	7250.0	y[34]	10048.39
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_xormaj_classic	16	classic	control	bc07674f42c4dd660bfd03635e29c0576087ccfd0137b0fbdaa9dde92eb26810	4600.0	y[34]	16455.78
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_mux_default	16	default	control	851186eec933f0986ebd07de06ff5c1966a76a06fe86dda090902a7b692e2b06	8030.0	y[38]	9237.61
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_mux_classic	16	classic	control	851186eec933f0986ebd07de06ff5c1966a76a06fe86dda090902a7b692e2b06	4900.0	y[33]	11041.84
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_default	16	default	control	1cd84c2f13efade64f4ee23dcd8548859de34fa50692e1dd0bbabfdedc87e3ff	9910.0	y[33]	9073.70
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_classic	16	classic	control	1cd84c2f13efade64f4ee23dcd8548859de34fa50692e1dd0bbabfdedc87e3ff	6640.0	y[33]	10756.57
mul16_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_default	16	default	control	c1ba53a073f28786845fdf006c7c43f7e2676ef17b198b9737dbcbd68fe49731	7630.0	y[42]	9285.16
mul16_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_classic	16	classic	control	c1ba53a073f28786845fdf006c7c43f7e2676ef17b198b9737dbcbd68fe49731	5540.0	y[33]	14156.08
mul16_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_default	16	default	control	04c0554c998df56a5124e4ae285962e90ea39d71f033323c412057bb284ffe37	11540.0	y[34]	9068.70
mul16_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_classic	16	classic	control	04c0554c998df56a5124e4ae285962e90ea39d71f033323c412057bb284ffe37	4830.0	y[33]	16729.80
mul16_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_default	16	default	control	d7a739257622474bfb00499af607653bca5231890a819a3bf010afc1d523253c	7230.0	y[34]	9524.13
mul16_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_classic	16	classic	control	d7a739257622474bfb00499af607653bca5231890a819a3bf010afc1d523253c	5410.0	y[33]	13990.92
mul16_mac_fused_fast_shared_ctrl_wallace_brentkung_xormaj_default	16	default	control	821a89908c40da358b6572b6615fb8d3e1fd7b96e7a85f502e0ed50578a8b87d	9260.0	y[33]	9810.66
mul16_mac_fused_fast_shared_ctrl_wallace_brentkung_xormaj_classic	16	classic	control	821a89908c40da358b6572b6615fb8d3e1fd7b96e7a85f502e0ed50578a8b87d	5000.0	y[33]	17068.87
mul16_mac_fused_fast_shared_ctrl_wallace_hancarlson_mux_default	16	default	control	d1caa67135fd7ee269802b5d5bb347eb4b34415b79e05e84018222c15581e487	7690.0	y[35]	10050.89
mul16_mac_fused_fast_shared_ctrl_wallace_hancarlson_mux_classic	16	classic	control	d1caa67135fd7ee269802b5d5bb347eb4b34415b79e05e84018222c15581e487	5390.0	y[33]	14303.72
mul16_mac_fused_fast_shared_ctrl_wallace_hancarlson_xormaj_default	16	default	control	47f474f9848abf2f4bd56e176f977e9508c0a03bad570fb31d196001b81311f1	7160.0	y[34]	9653.01
mul16_mac_fused_fast_shared_ctrl_wallace_hancarlson_xormaj_classic	16	classic	control	47f474f9848abf2f4bd56e176f977e9508c0a03bad570fb31d196001b81311f1	5170.0	y[33]	17271.56
mul16_mac_fused_fast_shared_ctrl_wallace_koggestone_mux_default	16	default	control	aa4e50ce302e6b2fc9ef416c42e9cebb62a403fbf2e07bbb9471d00976edddab	5950.0	y[50]	10356.18
mul16_mac_fused_fast_shared_ctrl_wallace_koggestone_mux_classic	16	classic	control	aa4e50ce302e6b2fc9ef416c42e9cebb62a403fbf2e07bbb9471d00976edddab	5210.0	y[33]	14850.49
