module	worst_arrival_ps	worst_output	area_um2
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_mux_classic	3200.0	y[17]	3439.55
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_mux_default	4960.0	y[23]	2671.31
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_xormaj_classic	2920.0	y[17]	4848.40
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_xormaj_default	4850.0	y[17]	2727.62
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_mux_classic	3660.0	y[17]	3492.10
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_mux_default	5600.0	y[23]	2770.16
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_xormaj_classic	3150.0	y[17]	4067.65
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_xormaj_default	3780.0	y[17]	2670.06
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_mux_classic	3390.0	y[17]	3592.20
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_mux_default	4850.0	y[17]	2656.30
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_xormaj_classic	3120.0	y[17]	4529.34
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_xormaj_default	4430.0	y[17]	2660.05
mul8_mac_requant_evo608_classic	3380.0	y[17]	3886.23
mul8_mac_requant_evo608_default	4800.0	y[17]	2462.36
mul8_mac_requant_evo608_norules_classic	3440.0	y[17]	4013.85
mul8_mac_requant_evo608_norules_default	4640.0	y[17]	2421.07
