module	width	recipe	class	source_sha256
mul8_mac_requant_evo608_default	8	default	candidate	64d57063a6cb141326c4d1280c839b7e32f92916a1eb3fec75bdb81cafc4fe3e
mul8_mac_requant_evo608_classic	8	classic	candidate	64d57063a6cb141326c4d1280c839b7e32f92916a1eb3fec75bdb81cafc4fe3e
mul8_mac_requant_evo608_norules_default	8	default	ablation	d3de662438d218a19dfafaf25f73b9316e89d00a6bb3737eee53b60df77bb373
mul8_mac_requant_evo608_norules_classic	8	classic	ablation	d3de662438d218a19dfafaf25f73b9316e89d00a6bb3737eee53b60df77bb373
mul16_mac_fused_fast_shared_ctrl_array_brentkung_mux_default	16	default	control	53afb9b49f1c069e20419f404a976102f6bbb8855e0fb6a4b4053adcf91de061
mul16_mac_fused_fast_shared_ctrl_array_brentkung_mux_classic	16	classic	control	53afb9b49f1c069e20419f404a976102f6bbb8855e0fb6a4b4053adcf91de061
mul16_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_default	16	default	control	2aed5aae973a28d509291e4f80f193bdcd5243cd5752736232713da8fdea8363
mul16_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_classic	16	classic	control	2aed5aae973a28d509291e4f80f193bdcd5243cd5752736232713da8fdea8363
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_mux_default	16	default	control	56cf5c5e85b3565e4fa97b8a898e3784fd97685278ce3ac3212b173b042f5254
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_mux_classic	16	classic	control	56cf5c5e85b3565e4fa97b8a898e3784fd97685278ce3ac3212b173b042f5254
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_default	16	default	control	9eb20473de7929f0c961758ffed8128df6bdc60d8405b13d5fad5638230dcf83
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_classic	16	classic	control	9eb20473de7929f0c961758ffed8128df6bdc60d8405b13d5fad5638230dcf83
mul16_mac_fused_fast_shared_ctrl_array_koggestone_mux_default	16	default	control	24c1ef4147dd5f33bd77b87e7667895e0942fd14ff7978c3f96530dff845d491
mul16_mac_fused_fast_shared_ctrl_array_koggestone_mux_classic	16	classic	control	24c1ef4147dd5f33bd77b87e7667895e0942fd14ff7978c3f96530dff845d491
mul16_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_default	16	default	control	67f5cfd80d7076c34057b4598fdb07d33bbd8ce9696c69fd13076d0bb4deead3
mul16_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_classic	16	classic	control	67f5cfd80d7076c34057b4598fdb07d33bbd8ce9696c69fd13076d0bb4deead3
mul16_mac_fused_fast_shared_ctrl_array_ripple_mux_default	16	default	control	0d2481411baec22e4fd50e109930797d37c265746dcd4ed89a60c65d95b9c56e
mul16_mac_fused_fast_shared_ctrl_array_ripple_mux_classic	16	classic	control	0d2481411baec22e4fd50e109930797d37c265746dcd4ed89a60c65d95b9c56e
mul16_mac_fused_fast_shared_ctrl_array_ripple_xormaj_default	16	default	control	ea0fba3281847b69ab5d195e7f0fef23577bff298868ba861e026abfc5271ab8
mul16_mac_fused_fast_shared_ctrl_array_ripple_xormaj_classic	16	classic	control	ea0fba3281847b69ab5d195e7f0fef23577bff298868ba861e026abfc5271ab8
mul16_mac_fused_fast_shared_ctrl_array_sklansky_mux_default	16	default	control	67626ad88e7d9394b6432428e8888cfd7f17d771736d67f48e8e7dedd40d3d15
mul16_mac_fused_fast_shared_ctrl_array_sklansky_mux_classic	16	classic	control	67626ad88e7d9394b6432428e8888cfd7f17d771736d67f48e8e7dedd40d3d15
mul16_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_default	16	default	control	d7ebb6b7cb178c780574a4178d296f69d0d09b50fb463c898431930fdb657214
mul16_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_classic	16	classic	control	d7ebb6b7cb178c780574a4178d296f69d0d09b50fb463c898431930fdb657214
