module	width	class	samples	seed	recipe	source_sha256	worst_arrival_ps	worst_output	area_um2
mul12_mac_replay_ctrl_wallace_hancarlson_xormaj_classic	12	control	1000	1752132712	classic	4458aa3185b80c0a7d0e125f146961e0a528a0fc2638be46937d4e5b10556d31	4470.0	y[25]	10002.09
mul12_mac_replay_ctrl_dadda_hancarlson_xormaj_default	12	control	1000	1752132712	default	403de5dab4609f879e79473587b70e05740a9c8174ec4b61d4c6e11232882d90	6360.0	y[29]	5436.46
mul12_mac_replay_ctrl_dadda_hancarlson_xormaj_classic	12	control	1000	1752132712	classic	403de5dab4609f879e79473587b70e05740a9c8174ec4b61d4c6e11232882d90	3490.0	y[25]	9609.22
mul12_mac_replay_ctrl_array_hancarlson_mux_default	12	control	1000	1752132712	default	4af16c38b8ced14ed62dd40c4b9c99c098b1c9c3444ad185e89c706026c542e9	6720.0	y[29]	5562.84
mul12_mac_replay_ctrl_array_hancarlson_mux_classic	12	control	1000	1752132712	classic	4af16c38b8ced14ed62dd40c4b9c99c098b1c9c3444ad185e89c706026c542e9	4630.0	y[25]	8132.80
mul12_mac_replay_ctrl_wallace_hancarlson_mux_default	12	control	1000	1752132712	default	5182292c8b12a0fb37101dd32a36123a5b780b1f15a6245aee8edee9bedb0260	5560.0	y[25]	5800.56
mul12_mac_replay_ctrl_wallace_hancarlson_mux_classic	12	control	1000	1752132712	classic	5182292c8b12a0fb37101dd32a36123a5b780b1f15a6245aee8edee9bedb0260	4400.0	y[25]	8899.79
mul12_mac_replay_ctrl_dadda_hancarlson_mux_default	12	control	1000	1752132712	default	8b9fd8730df8d2437fc420594ef38ed8ad99f2ebfad69df9d5e187e2ee80495e	6630.0	y[27]	5443.97
mul12_mac_replay_ctrl_dadda_hancarlson_mux_classic	12	control	1000	1752132712	classic	8b9fd8730df8d2437fc420594ef38ed8ad99f2ebfad69df9d5e187e2ee80495e	3910.0	y[25]	8316.73
mul24_mac_replay_candidate_default	24	candidate	200000	1752132732	default	4fd7f249fff05fd5833a33fdfb627075dab4a7ed9a1e2703b13d4b80561d06b6	10140.0	y[57]	19884.07
mul24_mac_replay_candidate_classic	24	candidate	200000	1752132732	classic	4fd7f249fff05fd5833a33fdfb627075dab4a7ed9a1e2703b13d4b80561d06b6	6640.0	y[49]	30415.42
mul24_mac_replay_norules_default	24	ablation	200000	1752132732	default	b9e4bacccc3a0185413aedf51b7c0711e7b0ce9d72c4d22792c777cbb9d599a6	11250.0	y[49]	19653.85
mul24_mac_replay_norules_classic	24	ablation	200000	1752132732	classic	b9e4bacccc3a0185413aedf51b7c0711e7b0ce9d72c4d22792c777cbb9d599a6	6220.0	y[49]	31949.39
mul24_mac_replay_ctrl_array_ripple_xormaj_default	24	control	1000	1752132732	default	da894d27703be8c9c9b2ede3632b69d4297c7a223a3dee97e01634dbcc1c3593	13380.0	y[49]	21242.87
mul24_mac_replay_ctrl_array_ripple_xormaj_classic	24	control	1000	1752132732	classic	da894d27703be8c9c9b2ede3632b69d4297c7a223a3dee97e01634dbcc1c3593	8820.0	y[49]	25728.43
mul24_mac_replay_ctrl_wallace_ripple_xormaj_default	24	control	1000	1752132732	default	17bde20a71b7d030d954e9a3933985927d1b3f789b68cf43b454108aec1a607b	12770.0	y[49]	20915.06
