module	class	source_sha256	recipe	mapped_sha256	worst_arrival_ps	worst_output	area_um2
mul24_mac_arrival_dadda_brentkung_xormaj_default	arrival_control	264c6f56d1cfc7e52bd07b5d295872dad60c81e1caca5828a96af4bb4fe7dbe3	default	20bf9568736a97c4ec48f5ec2d6c67853cf15d089561f30add5738a6d66ba4e0	15550.0	y[49]	19811.50
mul24_mac_arrival_dadda_brentkung_xormaj_classic	arrival_control	264c6f56d1cfc7e52bd07b5d295872dad60c81e1caca5828a96af4bb4fe7dbe3	classic	fe6b0b2131d5d1ad1fb6560e96032f9736dcd5c34fb16c65b5879a7a8271369b	6320.0	y[49]	38042.74
mul24_mac_arrival_dadda_koggestone_mux_default	arrival_control	614468b583f169fb46061e8698b98afe10722e27424c65ec782892f567642f4a	default	338411fa0211a008844c0e66f99758a2a4043ae2559a69e27827807211850f25	8030.0	y[60]	21127.76
mul24_mac_arrival_dadda_koggestone_mux_classic	arrival_control	614468b583f169fb46061e8698b98afe10722e27424c65ec782892f567642f4a	classic	51dc09ef434950eed56493fc24ec50ae0cd081386dc1d5beb10a278ede1ea74b	6420.0	y[49]	33346.98
mul24_mac_arrival_dadda_koggestone_xormaj_default	arrival_control	4d2f59cdfc8e4a0cb1b5609076f8ccc66264087c765f2a11fd4fc8449ef99871	default	6f46caef8043919bf9ca46817dd3a6e29771ad6e999dc99284e1b2c7761510ae	9660.0	y[49]	21934.79
mul24_mac_arrival_dadda_koggestone_xormaj_classic	arrival_control	4d2f59cdfc8e4a0cb1b5609076f8ccc66264087c765f2a11fd4fc8449ef99871	classic	ece5b521fa2d36946d32c58b4837c38c8f4efcc0bbb4270f3a61ade5ad09f969	5810.0	y[49]	42320.59
mul24_mac_arrival_fullnoha_sklansky_mux_default	arrival_control	75fc89ac4a1b0e03284d47204804fcb0e88e4dbc7fdc92a6ca5979fd27a457a7	default	d8a199463a1b6766c09b9698ba8e27712bb32cfbff0049bb65f610534411b5af	10640.0	y[55]	19834.02
mul24_mac_arrival_fullnoha_sklansky_mux_classic	arrival_control	75fc89ac4a1b0e03284d47204804fcb0e88e4dbc7fdc92a6ca5979fd27a457a7	classic	f2be269af87df23b655c94bb1c4463e3eeb3db4df61c90540e990d174dd33ad2	7680.0	y[49]	24168.18
mul24_mac_arrival_fullnoha_sklansky_xormaj_default	arrival_control	8db5056d30a1b071de449090e402f3bcc955133a5dcfeb41557c01a49a619599	default	544c69d3c22f0386144272c212250f92c3f91ea6d29e1f00a4017d2c6238bf06	15510.0	y[49]	20153.08
mul24_mac_arrival_fullnoha_sklansky_xormaj_classic	arrival_control	8db5056d30a1b071de449090e402f3bcc955133a5dcfeb41557c01a49a619599	classic	3cddd38210bb713c34a50608b9b53b108bc19dedf1624a9becd065d20a201eb3	7610.0	y[49]	25762.21
mul24_mac_arrival_fullnoha_brentkung_mux_default	arrival_control	6ad998b5c637b86059943c6d1dd611e60a52c02d8ae7393568921cdff7677f9d	default	2d15a82b626ac168e8956782733da85a9f022c3ed287324706a38990beba9c64	11860.0	y[52]	19611.31
mul24_mac_arrival_fullnoha_brentkung_mux_classic	arrival_control	6ad998b5c637b86059943c6d1dd611e60a52c02d8ae7393568921cdff7677f9d	classic	5aa943afbd99045ee07efa65602465a15e8b071a9f36cb5546bcea6004d4b0e7	7300.0	y[49]	23867.89
mul24_mac_arrival_fullnoha_brentkung_xormaj_default	arrival_control	a84fc1b1c4ec8db8466395106c39b233b1cbbecd500dc8a93b84ab3bac966f4f	default	4c2a2c0aedcd0b4933360873c5780a3789b220352b9967bcec41bb12eea43f40	12110.0	y[46]	20111.79
mul24_mac_arrival_fullnoha_brentkung_xormaj_classic	arrival_control	a84fc1b1c4ec8db8466395106c39b233b1cbbecd500dc8a93b84ab3bac966f4f	classic	b3b5730bbfd658361aa4c28ea0768062a779f06e7adcbfe4592a2168fc2f6947	7320.0	y[49]	25575.78
mul24_mac_arrival_fullnoha_koggestone_mux_default	arrival_control	518e6cd07a44a5e2aa4a74533c4516794ffbb49703c426677d6f7b34c04aa4de	default	b9360a1c0fa47d4762920b65e11686aa6b6b5fa7af533b7c95fc9c2dbac2e440	10760.0	y[50]	19976.66
mul24_mac_arrival_fullnoha_koggestone_mux_classic	arrival_control	518e6cd07a44a5e2aa4a74533c4516794ffbb49703c426677d6f7b34c04aa4de	classic	7fc8c9da7dce760587b296e00f94eaf5a519e9e2c2074568a334ee2b253fa172	7120.0	y[49]	25131.60
mul24_mac_arrival_fullnoha_koggestone_xormaj_default	arrival_control	1151a27cf0b247d224e6fff13f0506337fd31c5d31533a2393d94787a5f883fe	default	7b33860e5129c2bf10d87aa031ce1261196e9f5d2c4966f87009fa192542068c	12100.0	y[54]	20545.96
mul24_mac_arrival_fullnoha_koggestone_xormaj_classic	arrival_control	1151a27cf0b247d224e6fff13f0506337fd31c5d31533a2393d94787a5f883fe	classic	ad21d5ee4bc85408852d0777bd68f42a96d8291cdeab5b30cf3144b828f093a8	7320.0	y[49]	26531.70
mac24_reference_default	behavioral	6d804cd41fd1929a818c8d700075ce4185aa3312dcd793abfb19dbe2b93fe14d	default	deb3ee01c5e5f3ba11a0e4f9e3110024ac72c6248cddaa87c794af1aabd8fa40	15790.0	y[49]	21337.96
mac24_reference_classic	behavioral	6d804cd41fd1929a818c8d700075ce4185aa3312dcd793abfb19dbe2b93fe14d	classic	eb95ba6d38a510d14fcce5a0ad6bc3d3e39d0510d7ae92cb9779c27ada7c3fc6	7520.0	y[49]	34211.56
